"","x","y","x","y"
"1",124,125,124,158
"2",124,282,124,339
"3",124,409,124,443
"4",124,506,124,542
"5",124,626,124,649
"6",124,726,124,763
"7",124,840,124,865
"8",124,938,124,953
"9",124,1015,124,1036
"10",124,1112,124,1161
"11",124,1225,124,1270
"12",124,1358,124,1400
"13",124,1464,124,1506
"14",124,1589,124,1606
"15",124,1662,124,1678
"16",124,1745,124,1773
"17",124,1856,124,1915
"18",124,2026,124,2075
"19",124,2180,124,2213
"20",124,2326,124,2343
"21",124,2445,124,2479
"22",124,2592,124,2644
"23",124,2799,124,2864
"24",124,2965,124,2992
"25",124,3088,124,3107
"26",124,3197,124,3239
"27",124,3360,124,3384
"28",124,3476,124,3494
"29",124,3575,124,3600
"30",124,3697,124,3719
"31",124,3829,124,3852
"32",124,3952,124,3983
"33",124,4296,124,4324
"34",124,4454,124,4479
"35",124,4572,124,4608
"36",124,4698,124,4718
"37",124,4786,124,4800
"38",124,4872,124,4953
"39",124,4986,124,5014
"40",124,5113,124,5146
"41",124,5252,124,5269
"42",124,5482,124,5498
"43",124,5544,124,5560
"44",124,5615,124,5632
"45",124,5712,124,5747
"46",124,5790,124,5820
"47",124,5877,124,5901
"48",124,5998,124,6023
"49",124,6126,124,6149
"50",124,6236,124,6262
"51",124,6340,124,6356
"52",124,6413,124,6429
"53",124,6484,124,6498
"54",124,6558,124,6573
"55",124,6627,124,6642
"56",124,6705,124,6722
"57",124,6790,124,6809
"58",124,6876,124,6892
"59",124,6950,124,6970
"60",124,7038,124,7133
"61",124,7211,124,7235
"62",124,7342,124,7383
"63",124,7520,124,7558
"64",124,7713,124,7773
"65",124,7884,124,7914
"66",124,8011,124,8043
"67",124,8152,124,8205
"68",124,8349,124,8412
"69",124,8545,124,8598
"70",124,8732,124,8786
"71",124,8916,124,8967
"72",124,9090,124,9137
"73",124,9255,124,9291
"74",124,9381,124,9411
"75",124,9520,124,9539
"76",124,9619,124,9636
"77",124,9719,124,9737
"78",124,9808,124,9831
"79",124,9926,124,9951
"80",124,10038,124,10055
"81",124,10129,124,10159
"82",124,10237,124,10258
"83",124,10357,124,10380
"84",124,10499,124,10537
"85",124,10659,124,10684
"86",124,10810,124,10844
"87",124,10964,124,10995
"88",124,11106,124,11134
"89",124,11242,124,11256
"90",124,11596,124,11645
"91",124,11755,124,11773
"92",124,11860,124,11876
"93",124,11950,124,11968
"94",124,12066,124,12123
"95",124,12234,124,12271
"96",124,12348,124,12367
"97",124,12440,124,12485
"98",124,12639,124,12699
"99",124,12812,124,12896
"100",124,12992,124,13029
"101",124,13189,124,13233
"102",124,13415,124,13476
"103",124,13658,124,13703
"104",124,13856,124,13894
"105",124,14001,124,14017
"106",124,14082,124,14127
"107",124,14297,124,14341
"108",124,14468,124,14527
"109",124,14721,124,14911
"110",124,14985,124,15006
"111",124,15023,124,15188
"112",124,15210,124,15267
"113",124,15330,124,15413
"114",124,15445,124,15569
"115",124,15646,124,15790
"116",124,15886,124,15902
"117",124,15953,124,15994
"118",124,16028,124,16061
"119",124,16084,124,16144
"120",124,16205,124,16589
"121",124,16609,124,16629
"122",124,16654,124,16832
"123",124,16957,124,17004
"124",124,17207,124,17311
"125",124,17505,124,17564
"126",124,17584,124,17680
"127",124,17742,124,17970
"128",124,18207,124,18224
"129",124,18247,124,18279
"130",124,18406,124,18486
"131",124,18536,124,18846
"132",124,19290,124,19427
"133",124,19443,124,19484
"134",124,19534,124,19567
"135",124,19850,124,19959
"136",124,19999,124,20069
"137",124,20417,124,20461
"138",124,20705,124,20728
"139",124,20979,124,21209
"140",124,21227,124,21227
